url,status
https://pacitankab.sipbos.kemendagri.go.id/index.php?r=site/login,Legitimate
https://registry.gov.in/login.php,Legitimate
https://aplikasi-indonesia.com/kamusbahasainggris/arti/legitimate,Legitimate
https://dev-garena-free-fire-official.pantheonsite.io/New_event_2021/index.php,Phishing
http://xn--ingenieurbro-kps-szb.de/,Phishing
https://riaucybersolution.net/clientarea.php,Legitimate
http://1636365.com/assets/40vue.503ff477.js/assets/@intlify.595663c5.js/assets/@popperjs.36402333.js/assets/,Phishing
https://www.linkedin.com/,Legitimate
https://www.airbus.com/en/products-services/commercial-aircraft/passenger-aircraft,Legitimate
https://eventtopupfreeceeee.000webhostapp.com/index.php,Phishing
https://s.id/1KmOw,Legitimate
https://twitter.com/TokopediaCare,Legitimate
http://1636365.com/assets/40element-plus.6b0e43d0.js/assets/@element-plus.48bbde93.js/assets/@ctrl.b082b0c1.js/assets/,Phishing
https://nic.io/search.htm?action=search&tld=.io&pt=pg_type_category&root=difansyah,Legitimate
https://pmbonline.stei.ac.id/p/login.php,Legitimate
https://bafybeicylhj6ttnvef5n352alllsxvrfbxjxx4naav5o7z4sefbzt4grku.ipfs.dweb.link/owa.htm,Phishing
http://baradua.it/wp/wp-content/plugins/MADE/files/top.html,Phishing
https://ambilhadiah.resmi22.my.id/?fbclid=IwAR06Nbb7XTtg7q0M_owFjxeFzWN9qBItmEpuz2HyDteRMcy1-vAk26WHxW4,Phishing
https://soorajsrj123.github.io/netflix.clone/,Phishing
https://www.alibabacloud.com/,Legitimate
https://ejournal.uin-suska.ac.id/index.php/Menara/login,Legitimate
https://ejournal.stainkepri.ac.id/index.php/tanjak/login,Legitimate
https://id.freepikcompany.com/v2/log-in?client_id=flaticon&lang=en&_ga=2.256904075.1626748412.1679345293-821735646.1676915786&_gl=1*6gh892*fp_ga*ODIxNzM1NjQ2LjE2NzY5MTU3ODY.*fp_ga_1ZY8468CQB*MTY3OTM0NTI5My4zLjEuMTY3OTM0NTI5My42MC4wLjA.*test_ga*ODIxNzM1NjQ2LjE2NzY5MTU3ODY.*test_ga_523JXC6VL7*MTY3OTM0NTI5My4zLjEuMTY3OTM0NTI5My42MC4wLjA.,Legitimate
http://zen-minsky-ef5931.netlify.app/,Phishing
https://pandi.id/,Legitimate
https://keys.ma/microsoft-office?tracking&id&clickid=625ea0752ffaaulg&session=b54016597fbfe312e94a896dbe54994c,Phishing
https://36560077.com/,Phishing
http://foodforjoy.in/accountupdate/emailservice/en.php?rand=13inboxlightaspxn.1774256418&fid.4.1252899642&fid=4&fav.1&rand.13inboxlight.aspxn.1774256418&fid.1252899642&fid.1&email=zw5xdwlyawvzx3vrqg1lcmnrc2vyb25vlm5lda==&.rand=13inboxlight.aspx?n=1774256418,Phishing
http://facebooksecuritys.blogspot.cl/,Phishing
http://art.acausal.net/deuaxer/vip163/pass.php,Phishing
http://bt-login.alanilly.click/#login,Phishing
https://upholdloginac.mystrikingly.com/,Phishing
https://www.kaggle.com/,Legitimate
https://happy-morse.170-130-55-232.plesk.page/C-AGR22/,Phishing
https://deejayprock.com/wp-admin/anaellea/,Phishing
https://my.unikom.ac.id/index.php?err=1,Legitimate
https://opac.lib.pcr.ac.id/index.php?p=show_detail&id=11208&keywords=,Legitimate
http://schwab.bynder.com/login/redirecttoken/262740ef-e5f1-4c65-b1ba00615c5df915,Phishing
http://1636365.com/assets/40vueuse.4080c24a.js/assets/assets/assets/@floating-ui.4bc9703a.js/assets/assets/,Phishing
http://43.130.2.171/v3/signin/identifier?dsh=S738724840:1662902217301891&continue=https://accounts.google.com/&followup=https://accounts.google.com/&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin&ifkv=AQDHYWpWNNs1hvY2Fo8wATTMg1JqvwntxI2NQjEUN8IDHdcvqssdI6JhQ1NxS2EMsSRR1XrYk-vK3w,Phishing
http://davidrichared.com/,Phishing
https://eventszspinff.xiplinks.my.id/,Phishing
https://member.malaysiaairlines.com/3ea44ec0-f1d5-4cf7-bcb2-d3694e8c379e/oauth2/v2.0/authorize?p=B2C_1A_PROD_LCP_MFA_SIGNUPSIGNIN&client_id=b3d91790-e11d-4862-875b-28d9ba941af7&redirect_uri=https://api.malaysiaairlines.com/LCP-NOAUTH/dpMfaCallback&scope=openid%20b3d91790-e11d-4862-875b-28d9ba941af7%20offline_access&response_type=token&prompt=login&response_mode=query&state=z9BNLw81evWeQ3B1fxUN0Y60f9zP6yDnlRMkNxXDrvWm5fwOMaYuES6nG6APpn-Rv6iwjyn98hevX0xggu8wIJM73eCkjaiF9n9eUV3mUtn-gdtDJDE_WxuDfawtIIDivYf7J5DTO56ouHb5NG91QA,Legitimate
https://zabgc.ru/file/Plan/Santander/Particulares.php,Phishing
https://propam.riau.polri.go.id/mobile/mlogin.php,Legitimate
http://1636365.com/assets/40vue.503ff477.js/assets/@happys.755bd3e6.js/assets/@ctrl.b082b0c1.js/assets/assets/,Phishing
http://1636365.com/assets/40floating-ui.d26b4aea.js/assets/@floating-ui.4bc9703a.js/assets/assets/,Phishing
https://gemini-wall-login.mystrikingly.com/,Phishing
https://memo.bankmega.com/index.php?view=home&mod=login#no-back-button,Legitimate
https://jikn.go.id/index.php/dinas-perpustakaan-dan-kearsipan-provinsi-riau?sf_culture=en,Legitimate
http://www.pterygium.biz/gb/office_cookies/main/main.php,Phishing
https://www.rajaputramedia.com/artikel/cara-membuat-login-dengan-php-mysqli.php,Legitimate
https://siharka.menpan.go.id/index.php/login,Legitimate
https://lmtelecom.net/net/en.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=4&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&email&.rand=13InboxLight.aspx?n=1774256418,Phishing
